title,date,paragraph,source
普悠瑪一審宣判結果出爐家屬：台鐵依舊沒改善 - 聯合報,2021-10-18 11:49,"6432次普悠瑪列車於2018年10月21日在 新馬車站出軌翻覆，釀18死、215人輕重傷。宜蘭地方法院今天一審宣判，司機尤振仲判4年6個月，台鐵2主管無罪。普悠瑪自救會會長董小羚說：「這個判決，顯見台鐵依舊沒改善」。 
 
董小羚接受記者電訪時說，聽到這樣的判決，她認為台鐵依舊沒有改善，這整起事件就是台鐵本身的共犯結構，出了事情全部推給司機員，司機員若不幸因公殉職是英雄，沒事就是狗熊，對於2名官員無罪部分，她收到判決書後，會和律師團討論，再對外統一說明。 
 
台鐵普悠瑪列車3年前發生出軌翻覆事故釀成重大死傷，司機員尤振仲、負責驗收自動防護系統（ATP）的前台鐵機務處副處長柳燦煌、前台鐵綜合調度所所長吳榮欽等3人，被依過失致死起訴，宜蘭地方法院今天上午11點宣判，尤判4年6個月，柳與吳無罪。 
 
不幸罹難的台東卑南國中老師李詩涵，其家屬今天前往宜蘭地方法院聆聽判決，之前特地前往事故地點新馬車站，捧著鮮花悼念李詩涵。附上卡片也寫道：「願您快樂的天使，保佑我們全家平安，我們有約在主裡」。家屬仍悲痛思念死去的詩涵。 
 
另也有罹難家屬表示，這個判決感覺只歸咎於司機一人，這和之前運安會的調查報告一樣，事故是由許多原因組成，例如保養不確實、人員訓練不足、零件維修更換等，這些都必須也要有連帶責任，若最後只有司機員一人負責，這結果實在不能接受。",udn.com
普悠瑪事故一審僅司機遭判刑家屬嘆被賞熱辣辣的耳光,2021-10-19 15:44,"6432次 列車於2018年10月21日在宜蘭新馬車站出軌翻覆，釀18死、215人輕重傷，宜蘭地方法院昨一審宣判司機尤振仲4年6個月，台鐵2主管無罪。立委陳椒華今代發普悠瑪事故家屬聲明，家屬指出，「一審的結果，形同賞給我們一記熱辣辣的耳光，要我們如何能接受？我們沉痛呼籲檢方提起上訴，我們不懂艱深的法律，我們只求一個公道。」 
 
家屬指出，事故發生三年來，從痛哭失聲，到流乾了淚，記得去年運安會林沛達主任調查官在公布最終事故調查報告受訪時提到「我們認為超速不能歸咎司機，而是台鐵問題」，沒有想到的是，今天竟然是這樣的結果。 
 
家屬也表示，今年太魯閣號又因台鐵工程管理疏失再度發生更大的遺憾，台鐵的改革居然如此讓人難以承受，「當初普悠瑪事故後，相關機關、單位所謂的痛定思痛，原來不是指他們，而是我們！是我們這些無辜的百姓以及罹難者的家屬。那些說要痛定思痛的單位、機關，讓我們一再的嘗到失去摯愛的痛苦，殘酷地讓我們朝思暮想已故的家人、朋友。」 
 
家屬痛批，相關機關、單位三年來沒有改善疏失，容任這樣的事故一再發生，而且相關人等不但沒有被實質的追究責任，得到懲罰，有的人甚至還升官發財，「是怎樣冷血無情才能毫無羞愧的坐上那些位子」？ 
 
對於普悠瑪事故一審判決結果出爐，僅有司機員應負過失致死的責任，家屬表示，不可能司機員一人出錯就會導致列車翻覆，「會導致這樣重大的事故，其他相關人員必定難辭其咎」，家屬也質疑，台鐵採購的ATP遠端監控等相關安全系統沒有安裝或連線，相關人員竟然不需要負責任？「檢察官怎麼沒有調查這部分？這些問題難道沒有瀆職疑慮嗎？司法不用調查嗎？難道我們的傷痛、摯愛的犧牲，就只能在頭痛醫頭腳痛醫腳的制度下被淡忘了嗎？希望作為人民最後防線的司法機關，能夠再繼續追查真相，還給我們一個公道！」",udn.com
台鐵一早出包2次！ 406次普悠瑪無動力、基隆八堵號誌異常,2021-12-03 11:12,"臉書社團「合鐵事故通報平台」指出，406次 自強號於三民車=瑞穗車站間，發生機械異常事件，造成該車次及台東線部分班次延遲。 
 
據了解，406次普悠瑪上午9時58分於富源=瑞穗間K62附近，發生機車無動力，經洽司機員，因地上感應子故障，編組洽停在中性區間導致無法啟動，預計用後面運用編組408次推406編組。 
 
 局說，初步了解，ATP地上感應子故障，停在中性區間，沒有動力，移開後重新升弓就好。 
 
台鐵局表示，中性區間有兩個感應裝置，該列車過了斷電感應裝置，沒有滑到復電裝置，所以沒辦法重啟。實際上，斷電跟復電僅隔30公尺。對於今天的狀況，內部說「就是很衰」。 
 
台鐵局說，經重新升降弓處理及詳細檢查後確認恢復正常，406次上午10時38分於現場開車。有關機車動力切斷原因，等列車編組返回機務段後詳查。 
 
此外，今天上午基隆=八堵間也傳出號誌異常。台鐵局說，疑似是黃燈故障。",udn.com
台鐵再出包！406次普悠瑪號花蓮突失去動力延誤46分鐘 - 聯合報,2021-12-03 11:40,"台鐵又出包，由樹林開往台東的406次 ，今天上午近10時行經花蓮富源至瑞穗間，突然失去動力無法行駛。 局初步了解，是ATP地上感應子故障，列車停在中性區間，沒有動力，移開後重新升弓即恢復動力。該列車因此事故延誤46分鐘，車上234人可全額退票。 
 
406次普悠瑪今天上午9時58分行經富源=瑞穗間K62附近，發生機車無動力停車狀況，經重新升降弓處理及檢查後恢復正常，406次10時38分現場開車。有關機車動力中途切斷原因，將待列車編組返回機務段後詳查。 
 
台鐵局表示，此事件造成406次在內的3列車次受到延誤，以406次延遲46分鐘最久，該車次載有234名乘客，符合全額退票資格。 
 
根據台鐵規定，搭乘台鐵對號列車，因可歸責台鐵，致抵達目的地車站時間遲延45分鐘以上，旅客可選擇全額退費或憑誤點車票申請免費搭乘同區間同等級列車一次。 
 
不到2天前，本月1日晚間8時許，台鐵611車次復興號北上快到花蓮鳳林時，第3第4節車廂脫節。對於脫節原因，台鐵說，研判是異物撞擊所致。經查，有鐵板入侵車輛界線，而該工程由鐵道局代辦。 
 
台鐵局表示，中性區間有兩個感應裝置，該列車過了斷電感應裝置，沒有滑到復電裝置，所以沒辦法重啟。實際上，斷電跟復電僅隔30公尺。對於今天的狀況，內部說「就是很衰」。 
 
台鐵局說，經重新升降弓處理及詳細檢查後確認恢復正常，406次上午10時38分於現場開車。有關機車動力切斷原因，等列車編組返回機務段後詳查。",udn.com
台鐵尊重普悠瑪案判決年底前完成安全管理系統 - 聯合報,2021-10-18 13:18,"第6432次普悠瑪列車3年前在宜蘭翻覆，造成重大死傷。宜蘭地方法院今天宣判，司機員尤振仲依過失致死罪判4年6個月。台鐵尊重判決，並表示將在年底前完成安全管理系統。 
台鐵第6432次普悠瑪列車於民國107年10月21日下午行經宜蘭新馬站時，因高速過彎翻覆，造成18人死亡、200多人受傷。 
地方法院今天宣判，除尤振仲外，同案中時任台鐵機務處柳姓副處長、時任台鐵局綜合調度所吳姓所長都被判無罪。台鐵表示尊重判決結果。 
台鐵發布新聞稿表示，為確保行車安全，已全面推動安全改革，透過檢視人、車、路三面向健全工地管理、改善風險路段、強化軌道結構、提升車輛妥善率、確保行車運轉安全，另也積極強化橫向聯繫、辦理高階技術會報及訂定重賞重罰激勵機制等務實作為。 
台鐵預計今年底完成導入台鐵安全管理系統（SMS），由過去被動式治標方式，轉變為主動式治本機制，同時於年底前引進專業技術服務，將SMS各項作業指引內化至基層落實執行，建立安全文化。 
交通部也預計明年起辦理第三方對台鐵評鑑，確保SMS系統有效落實執行。 
台鐵表示，6432次列車事故後，台鐵修訂相關管理須知、強化考核機制、建立明確賞罰機制、成立司機員考核精進小組，同時研發出考核超速自動篩選程式，有效提升司機員考核效率及精度；另外，重新修訂司機員標準作業程序，包括4大項62小項態樣，確保車輛故障或事故時的安全處理程序。 
台鐵指出，3年來台鐵也針對安全修訂多項管理規章，包括107年11月15日修訂「列車自動防護系統（ATP）使用及管理要點」，108年7月15日修訂「ATP隔離開關遠端監視系統使用操作程序」、12月2日修訂「列車自動防護系統（ATP）遠端監視系統調度員操作標準作業程序」。 
台鐵表示，新修訂的安全規章都已完成相關人員教育訓練並落實執行。 
根據國家運輸安全調查委員會去年10月針對普悠瑪事故完成的補強調查報告，指出台鐵在運轉、維修及組織等管理上有27項問題。",udn.com
普悠瑪翻覆事實報告出爐出軌前一秒司機並無煞車 - 聯合報,2020-04-21 12:37,"前年10月21日，台鐵普悠瑪號在新馬站翻覆，造成18死、291人輕重傷，至今已過一年半。根據行政院公布的事故調查報告，定調司機尤振仲超速是出軌肇事主因。運安會去年八月成立後，將相關人員重新面談，比對檢調所有資料，也把重要事實確認，包含解讀八個當時認為已經破壞的CF卡，今天上午召開事實資料報告說明會，資料顯示出軌前一秒司機並未煞車。 
 
運安會鐵道專業小組召集委員李綱說，這次補強調查著手面包含完整解讀各項紀錄器；補強車輛維修、軌道、信號調查；補強人員訪談調查；七大測試與研究，包含傾覆行為模擬跟殘骸交叉比對，還有找當初車商做主風缸壓力與列車行能驗證等；還有深入組織管理議題。 
 
李綱說，根據列車控制監視系統(TCMS)，快翻車、接近下午4時49分，列車高達時速140公里，當時列車自動防護系统(ATP)已經被關掉無法作動，電門把手又推到最高，剩一秒鐘就會翻覆之際，司機員並無煞車，但有將離他最近的電門把手下壓到OFF位置。不過李綱坦言，就算拉掉電門把手，列車噸位過大，無法立即降速甚至制止；且因為當時司機忙著故障排除，想意識到要煞車可能也來不及。 
 
事實報告中也還原間軸，下午3時39時，事故列車開始出現動力時有時無、停留韌機自動作動及停車現象；4時17分時，事故列車司機員自行將ATP隔離後績行。約4時49分時TCMS記錄車速為140公里／時，事故列車沿東正線往南進入蘇澳斬馬站月台前第四股道右彎介曲線路段，於里K89+218.75處第八節車廂向左（海）側傾斜翻覆，最終八節車廂全數出軌，其中四節車廂傾覆。 
 
至於外界關注的ATP問題及主風泵問題，李綱說列車當時顯示ATP故障，但其實是ATP已經被關掉，而非故障。且司機誤以為主風泵過熱導致系統停機，跟ATP故障有關，這恐是台鐵長久以來的認知問題。且列車上有四個主風泵，當時已經有兩個無法正常工作，只剩一半可以正常作動，日商是否有規範剩兩個主風泵時不能開車，以及台鐵平常如何保養，都還要再探討。 
 
另外，李綱說，從司機員與其他人對話紀錄上也會發現，即便別人講的跟自己認知不同，也很容易贊成或肯定，雞同鴨講狀況出現多次，未來在做人為因素分析的時候，會針對心理上的性格加強檢視。 
 
不過，李綱強調，司機員初步認定無疲勞問題，事故造成有多重原因，這次僅是把事實報告呈現，並沒有要全歸咎於人為疏失。規畫於8月完成補強調查報告草案，經審議通過後再公布完整調查報告，包含事實資料、分析議題、調查發現、改善建議等，以期完整研析風險控管機制及組織安全性議題，杜絕防止類似事故再發生。",udn.com
交通部監督台鐵有多鬆？普悠瑪事故後144個改善項目 - 聯合報,2021-04-27 08:42,"【製作人／陳一姍；文／吳靜芳、史書華、楊孟軒；圖片／王建棟攝】 
 
普悠瑪、太魯閣號事故，都是人為疏失造成，監督安全的工作，出了什麼問題？原來，負責監管的交通部鐵道局，與台鐵局平行，不易管控。要解除台鐵人禍風暴，該怎麼做？ 
 
事實上，如果台鐵落實執行相關規定，太魯閣號出軌是完全可以避免的人禍，關鍵是有沒有做避免雜物掉落軌道的安全防護設施。 
 
 
3個時機點，任一環節做到都有救 
 
《天下》取得設計監造單位聯合大地的細部設計圖，裡頭明確指出，工程案必須設計避免雜物掉落軌道的安全防護設施。 
 
簽約後的踏勘，是另一個時機點。從業主台鐵到專案管理中棪管理顧問、設計監造聯合大地，乃至於主承包商東新營造，在開工前，都必須到施工現場，把工法、地形以及潛在風險都兵推數遍。 
 
一名前台鐵副總工程司看見肇禍的便道在明隧道施工基地外，他直言，「踏勘時應該會注意（便道）斜坡底下就是鐵路，機具、材料都有可能會溜下去，有必要做鋼軌樁或者是擋土牆。」 
 
事實上，出事的清水隧道段緊鄰台9線蘇花公路，不只工程機具，公路車輛翻覆掉落、大型落石都有可能影響軌道安全。 
 
 
 
即使多方踏勘沒發現風險，這次工程案所屬的「鐵路行車安全改善六年計劃」是台鐵2015年開始的長期大型施工計劃。開工後兩年內，依規定，必須定期做內部稽核乃至外部稽核，這是第三個時機點。 
 
「只要有一個環節守住，事故就不會發生，」這名台鐵退休高層痛心地說。目前檢調尚未完成此部份的調查。 
 
 
外力監督，讓品管精神像身邊的影子 
 
「台鐵1.5萬名員工上山下海，如果不是很強的紀律與品質意識，其實很難不出事，」前台大企業策略教授李吉仁直言，從台鐵層出不窮的事故來看，他建議政府第一步用外力，在台鐵高強度地推動品質運動。 
 
「要有足夠決心跟足夠承諾，編制外部獨立的台鐵體檢監理單位，」前交通部長葉匡時建議。 
 
普悠瑪事故後，時隔兩年半，再度發生重大死亡車禍。 ，表示交通部認定，台鐵已改善完畢。 
 
其中，6個月前，鐵道局才認證「連同承包廠商與員工，都應增訂並確實落實於每日工班上線前之『安全工具箱會議』」，這個改善事項已經完成，解除列管。但事後驗證，李義祥連通報電話都沒有打。 
 
葉匡時認為，這表示，理論上要負責監管的交通部鐵道局，由於與台鐵局平行，根本很難要求台鐵。而運輸安全委員會是事故調查的獨立單位，都無法發揮全面的監督功能。 
 
 
 
事實上，政府不是沒有引入外部顧問，全面改造國營企業的先例，譬如中華航空。1990年代，華航陸續發生名古屋、大園空難，航發會聘請德國漢莎航空進駐多年，重新訓練機師、建立安全手冊與標準作業準則，完成後才撤退。 
 
從檢討報告看台鐵營運有多荒謬！ 
 
 改善設備故障，只針對故障設備單一提出對策；運、工、機、電等各處的規章及標準作業程序，規定繁複不易執行、過多例外及權宜措施形成安全漏洞 
 
 鐵道局同時負責工程建設與工程督導管理，不利落實監督 
 
 沒有規定司機員與車長碰上異常事故時，應即時回報值班站長或綜合調度所。因無人回報，系統上無呈現事故，高層主管亦無從得知 
 
 前交通部長賀陳旦表示，得讓台鐵像其他運輸服務業一樣，品管精神成為「身邊的影子」。 
 
日本資深記者松本創在日本國鐵（JR）發生福知山線出軌事故後，為了找出事故的真正原因，花了10年時間，採訪事故遺族和利害關係者，寫下《軌道：福知山線出軌事故，改變JR西日本的奮鬥》一書。「事故的原因是組織經營的結果，」松本創在書中開宗明義寫下。 
 
台鐵的沉痾，根結也是不合時代的組織經營架構，而且受到政治民意綁架。 
 
 
 
 
先做到營運願景第一句的「安全」 
 
儘管台鐵兩大工會「台鐵企業工會」及「台鐵產業工會」皆舉著反對公司化的大旗，但經手台鐵組織改革研究的學者和官員，多同意「公司化」才有機會徹底讓台鐵走向現代企業的組織型態，而不像現在一本帳算不清。 
 
根據《天下》獨家取得的機密公文顯示，2003年，當時行政院長游錫堃早已同意一份寫明公司化條件、變成國營公司步驟的公文。 
 
第一個條件，就是債務、員工退撫金的歷史包袱，由政府全部承接；其次，因配合政策要求的運輸服務，要由政府全額補貼；第三個條件，就是車路分離，基礎建設、採購火車等費用，應該效法捷運局，由政府負擔，台鐵單純回歸做營運。 
 
 
 
台鐵龐大的債務，不僅是員工退撫金，還包含從省政府時期，一路配合各地方政府、政治人物的需索造成的虧損。 
 
攤開台鐵的服務站數，過去16年成長超過一成，但台鐵的票價，總統直選之後，26年來完全凍漲。 
 
台鐵順應民意消除了平交道，往地下、往高架發展鐵路立體化，2010年開始，至少有23件相關建設。交通部運輸研究所曾估算，立體化後，台鐵車站的營運成本大幅增加1.9到8.2倍，維修成本也成長2到10.8倍。 
 
「效益是建商和居民享受，花大錢的成本算在台鐵頭上，」專門研究公營事業改革、也是行政院台鐵總體檢專門小組一員的張玉山說。 
 
 
 
財主單位認為，台鐵坐擁高架化後的市區精華地，卻忽略了台鐵並沒有能力進行土地開發。「立體化後，台鐵面對的是大面積的都市計劃變更，」賀陳旦語氣一沉，「但台鐵玩不起！」 
 
賀陳旦焦慮地說，如果不透過改革， ，交由中央從高位思考土地如何分區使用，未來這些土地最有可能的下場，就是由地方政府主導開發，台鐵只能被動配合。 
 
台鐵在官網上是這麼形容願景與營運目標，「以安全、準確、服務、創新、團結、榮譽為核心目標，並追求滿足旅客期待、引導國土空間發展、提升國家競爭力，」然而擺在第一的「安全」再不落實，其他目標都是空談。 
 
這一次，請不要只停留在事故的表面原因。這一次，我們必須救台鐵。 
 
【延伸閱讀】 
 
 
 
【更多內容請見《 》721期；訂 】 
",udn.com
普悠瑪翻覆事故高院首開庭司機員：已減速何來超速？ - 聯合報,2022-02-16 17:57,"
 普悠瑪列車4年前在宜蘭出軌翻覆釀嚴重死傷，一審認為司機員尤振仲關閉自動防護系統、超速達140公里，是事故主因，犯後又無悔意、態度欠佳，依過失致死罪判4年6月徒刑；同遭起訴的台鐵機務處前副處長柳燦煌、綜合調度所前所長吳榮欽無罪。尤和檢方上訴，台灣高等法院今開庭，尤稱自己未超速，並指台鐵列車妥善率過低。 
 
2018年10月21日， 列車在宜蘭縣蘇澳新馬車站出軌翻覆，8節車廂呈Ｗ型嚴重扭曲，造成18人死亡、215名乘客輕重傷；有些遺體拼湊不全，親屬只能含淚捧著可能混雜他人遺體的碎肉返家火化。 
 
宜蘭地檢署認定尤振仲（52歲）關閉列車自動防護系統ＡＴＰ並超速；柳燦煌（65歲）驗收普悠瑪時未測試ＡＴＰ遠端監視系統即投入營運；吳榮欽（62歲）沒有落實ＡＴＰ開關機制的監視義務，3人都有過失，依過失致死起訴。 
 
宜院認為，柳燦煌召集技術人員參與審查，檢查測試項目非常多，因製造商提供文件疏漏，才未納檢「ＡＴＰ遠端監視系統」，與會專家和驗證單位也未發現，非他一人過失。吳榮欽在普悠瑪採購案中，只負責列車試運轉階段車輛行車調度，並未參與ＡＴＰ遠端監視系統「整備測試」，也難以認定有疏失。司機員尤振仲因ＡＴＰ故障誤判列車動力已切斷，擅自關閉ＡＴＰ卻未依規定重啟，又超速75公里，以約140公里高速駛入車站大彎道路段，是造成列車出軌翻覆主因。 
 
尤振仲不滿被認定有罪而上訴，檢方則認為一審量刑過輕，且3名被告都有責任，也上訴。高院今行準備程序，尤否認犯罪，表示列車故障時有告訴調度員，他已經減速「何來超速？」也非貿然關閉ＡＴＰ，指刑事訴訟應要發現真實。 
 
尤的律師賴彥傑表示，台鐵136輛傾斜式電聯車採購案爭議不斷，普悠瑪採用的空氣彈簧傾斜系統、ＡＴＰ不適合多急彎的北迴線，行政院的調查報告也提到台鐵沒有完善的培訓課程，尤的工作不包含維修車輛、排除故障，他要求更換車輛還遭拒，已盡注意義務。賴說，事發至今，尤也飽受壓力創傷。 
 
賴彥傑聲請調查6項「相關資料」，檢察官則認為普悠瑪設計是否有瑕疵、台鐵訓練是否不足，與尤振仲「應注意而未注意」是兩回事，否則再好的車也會出車禍。法官則認為「相關資料」過於廣泛、不夠明確，要求律師再具狀補充說明。 
 
今天有5名告訴人、訴訟參加人到庭，其中3人未表示意見，另2人則質疑車禍真相不明確、台鐵疏於善盡管理之責，也無法接受一審判決為何與宜蘭地檢署提出的報告不一樣，盼高院給被害家屬一個交代。",udn.com
普悠瑪事故18死215傷滿三周年前夕今日宣判,,,chinatimes.com
【太魯閣出軌】普悠瑪受難者協會理事長董小羚 - 中時新聞網,,,chinatimes.com
