title,date,paragraph,source
【專家之眼】俄烏戰爭的可能後果：俄羅斯崩潰 - 聯合報,2022-02-27 13:00,"入侵 ，甚至提出荒謬至極的要求：要和談可以，但和談的內容只能是烏克蘭該如何投降， 還鼓勵烏克蘭軍隊奪權，放下武器。普亭這麼做，用意很清楚，那就是如果烏克蘭不想要戰爭，最好的辦法就是投降，換一個聽莫斯科話的總統。如此公然的侵犯一個國家的主權，點名烏克蘭總統下台，普亭如此的魯莽行為將付出慘重的代價，這代價甚至包括葬送俄羅斯的未來。 
 
2月24，英國首相強生宣佈對俄羅斯實施「有史以來規模最大和最嚴厲的」一攬子制裁措施，包括所有在英國的俄國銀行將被排除在金融體系之外、禁止俄國公司在英國融資，並繼續援助烏克蘭經濟和防禦性武器等等。強生還說：「我們將繼續執行一項無情的任務，把俄羅斯從全球經濟中一塊一塊地、一天一天地、一週一週地擠出去。」 
 
因為普亭的入侵烏克蘭，加上26日，到德國訪問的波蘭總理莫拉維茨基（Mateusz Morawiecki)公開批評德國「自私」，他對著媒體說，「我到柏林，就是要撼動蕭茲總理的良心，撼動德國的良心」，使得原本對制裁俄羅斯有所保留的德國政府的態度也發生了變化。同日，德國政府宣佈，烏克蘭武裝部隊將從德國得到1000枚反坦克武器和500枚毒刺地對空導彈。 
 
正因為德國的態度轉變，最終促成了整個西方國家，包括美、英、加、德、法、義大利等國家在26日晚間發表聯合聲明，決定把部份俄羅斯銀行排除在國際結算系統Swift之外，並嚴格限制俄羅斯中央銀行進入資本市場，這將使得俄羅斯的外匯儲備一夜之間無法使用（截至2022年1月16日，俄外匯儲備達到創紀錄的6382億美元），這些金融制裁手段將有效壓縮普亭的軍事行動空間。 
 
此外，普亭的魯莽行徑反而會讓烏克蘭人更加團結，更不容易讓澤倫斯基下台，要打下烏克蘭是更難了。普亭的做法只會加深烏克蘭人對俄羅斯的仇恨，即使，普亭以武力推翻了澤倫斯基，扶持親俄的總統上台，他的統治必然無法安穩，時時會有爆炸聲。 
 
最讓人意外的是，中國在這場烏俄戰爭中的角色。北京冬奧期間所發表的中俄聯合聲明似乎沒能在這場衝突中幫俄羅斯什麼忙。相反的，2月25日，聯合國安理會針對譴責俄羅斯入侵烏克蘭提案進行表決，要求俄羅斯即刻撤軍，作為俄羅斯的盟友，中國竟然棄權，要知道，在這樣的場合，棄權意味著譴責。 
 
最可疑的是，2月26日，5位著名的中國歷史學者竟然連署譴責俄羅斯入侵烏克蘭，這在中國相當不尋常，原因是中國學者的任何一個公開發言其實都是經過審查過的。這就是說，學者的發言是中共同意的，甚至可能是中共授權的。 
 
普亭的失算還在於，他的入侵烏克蘭，等於把原本世界衝突的焦點從中美貿易戰、新疆種族滅絕、香港人權問題，整個轉移到自己身上，因而促成了中美和解的可能，俄羅斯的壓力，不管是內政、經濟、金融，甚至是軍事，都更大了。在這場衝突中，中國無疑成了漁翁。這就是為什麼會有中國在聯合國安理會的棄權以及五位中國歷史學者的譴責倡議了。 
 
2月24日俄羅斯開戰，造成當天俄羅斯的股市出現「史詩級」的暴跌，下跌45%，是有史以來最大的單日跌幅，而盧布兌美元匯率則跌至歷史最低點。26日西方國家又宣佈對俄羅斯實施核彈級的金融制裁，可預見的，28日星期一俄羅斯的股市還要再重摔一次，如此一來，俄羅斯的經濟無疑是雪上加霜。如果普亭再一意孤行，不停止戰爭，遭到全世界孤立的俄羅斯很可能在內外壓力之下崩潰，這不是不可能。",udn.com
俄烏戰爭何時落幕？烏軍情首長曝「結束時刻」：俄政變進行中,2022-05-14 17:20,"
 
 國防部情報總局（GUR）局長布達諾夫少將（Major general Kyrylo Budanov）接受Sky News獨家專訪時聲稱，對俄戰爭進展順利，將在8月中迎來轉捩點，並且會在今年年底結束，同時聲稱推翻 總統 的政變已經在進行之中，又指他罹患癌症、病情嚴重。 
 
布達諾夫表示，「轉捩點將會在8月的下旬，大部分實際作戰行動將在今年年底結束。從而，我們將在我方已失去的所有領土恢復烏克蘭的權力，包括頓巴斯地區跟克里米亞」。 
 
在專訪中，布達諾夫聲稱俄羅斯在烏克蘭的失敗會導致普亭總統的垮台和國家解體。他說，失敗「最終將導致俄羅斯聯邦的領導階層更迭，這個程序已經啟動了，他們正步入那條路」。當主持人提問，這是否意味著一場政變正在進行時，布達諾夫答稱，「是，他們正以這種方式發展，而且不可能阻止」。 
 
布達諾夫宣稱，普亭患有癌症跟其他疾病，正處於「非常糟糕的心理與生理狀況，他病得很重」，也駁斥他正在散播宣傳素材作為一部分資訊戰的說法，也對自己的主張有信心，「這是我的工作，這是我的工作，如果不是我，誰會知道這些？」 
 
BBC與衛報表示，布達諾夫的說法尚未得到證實，澤倫斯基總統則在講話指出，沒有人可以預測他們國家所面臨的衝突會持續多久。",udn.com
我與素養的距離／俄烏戰爭緣由霧煞煞前世今生因果細分明,2022-03-17 08:09,"
新制的108課綱希望學生培養素養能力，而歷史的核心素養是什麼呢？有不少學者、老師認為是「思辨」的能力。透過了解歷史事件的來龍去脈，思考事件傳達的意涵，進而培養剖析、批判歷史的能力、建立面對歷史應有的態度。而這一陣子國際間最火熱的新聞非 莫屬，雖然是現在進行式，但其緣由與未來發展皆與歷史息息相關。 
2022年2月24日， 與白俄羅斯結成聯盟，以「非軍事化、去納粹化」為由入侵 ，成為第二次世界大戰以來歐洲最大規模的戰爭。其緣由包括烏克蘭的去俄羅斯化等民族問題以及北約東擴問題。你知道「北約」是什麼樣的組織嗎？烏克蘭又為什麼要去俄羅斯化呢？這些都與昔日的「冷戰」有著密切關係唷！現在就讓力宇教育的彤妤老師來告訴你「冷戰」是怎麼一回事吧！ 
 
 
 
更多解題秘訣、第一手考試資訊，都在【 】 
 
 
【Ai 學霸-小中高數位學習平台】國中社會總複習課程 
   
【Ai 學霸-小中高數位學習平台】免費試讀申請 
 
【Ai 學霸-小中高數位學習平台】更多升學資訊 
 
【力宇教育】 
 
",udn.com
全球觀察／俄烏戰爭凸顯西方雙標 - 聯合報,2022-04-19 02:19,"今年二月下旬入侵 ，美國為首的西方國家展現前所未有的團結，對俄國施加嚴厲制裁，廣開大門收容烏克蘭難民，並討論以戰爭罪起訴俄國總統普亭。但在許多非西方世界國家眼中，此事再度凸顯西方在世界舞台的雙重標準，他們指出，美國十九年前也曾捏造藉口入侵伊拉克，為何沒有被制裁？中東地區仍有多處衝突和人道災難，為何得不到像烏克蘭這樣的關切？ 
 
華盛頓郵報報導， 爆發後，西方國家紛紛制裁俄國，提供烏國金錢與軍事援助，德國總理蕭茲宣布要增加國防預算，一改二戰後的消極防衛政策，宣稱時代已來到分水嶺。 
 
巴勒斯坦外長馬爾基上月在土耳其的一場安全會議中表示，以巴衝突時巴勒斯坦常會要求國際制裁以色列，「過去七十年來我們被告知不可動用的（制裁）方法，在過去不到七天全用上了。真是驚人的偽善。」 
 
 
 
在伊拉克，許多民眾也感受深刻。二○○三年美國捏造證據誣指伊拉克海珊政府擁有核生化武器，和英國等盟邦一起入侵伊拉克。美聯社指出，當時許多伊拉克人拿起武器抵抗美軍，卻被貼上恐怖分子標籤；逃向歐洲的難民船被推回海上，卡在陸地邊境的難民不得其門而入。 
 
打過伊拉克戰爭的男子魯拜說：「當時全世界都站在美國那一邊，包括烏克蘭，我們仍抵抗占領者。就因為世界站在美國那一邊，我們沒有榮耀，他們不會說我們是愛國鬥士。這當然是雙重標準，好像我們是次等人類。」 
 
四十一歲的伊拉克貨車司機哈里德說，他不認為烏克蘭戰爭和伊拉克戰爭有什麼不同，「美國大老遠飛了幾千公里來打我們，而俄國是去打隔壁可能有威脅性的國家，我們的抵抗或許還比較有道理」。 
 
 
 
西方國家對烏克蘭和中東衝突態度也完全不同。敘利亞二○一一年爆發內戰，俄國以支援敘國總統阿塞德為由，二○一五年出兵敘利亞，包圍摧毀反抗勢力城市，造成平民死傷，國際社會雖強烈譴責，但缺乏具體行動。 
 
同樣陷入長期內戰的葉門，淪為沙烏地阿拉伯為首的聯軍和伊朗支持的胡塞組織角力場，一千三百萬人面臨饑荒，也缺乏國際關注，美國和英國還支持沙國，繼續在葉門與伊朗打代理戰爭，無視當地的人道災難。 
 
在社群媒體流傳的影片中，烏克蘭民眾自製汽油彈，拿起武器練習射擊，西方一片叫好，稱讚他們勇於對抗俄國強權，保衛國家。但巴勒斯坦人和伊拉克人做同樣的事，卻被稱為恐佈分子，是合法攻擊目標。 
 
美聯社報導，專家指出，俄烏戰爭和中東戰事性質並不相同，俄烏戰爭本質是聯合國成員入侵另一個成員，而中東戰事牽涉內戰與宗教。卡內基國際和平基金會資深研究員米勒指出：「大體而言，中東戰爭相當複雜，難以用道德評論。」不過，米勒承認，美國的政策「確實充滿各種偏差、前後不一、矛盾及偽善」。",udn.com
周行一／您該理解的俄烏戰爭緣由 - 聯合新聞網,2022-03-13 04:19,"二月廿一日，俄國正式承認 東南方與俄國接壤兩個分離主義者占據的頓內次克共和國及盧甘斯克共和國；廿四日俄國開始攻擊烏克蘭，迄今尚無法控制烏克蘭，民眾死傷成千上百，一百四十萬人以上逃離，烏克蘭正形成一個巨大人道災難。這個戰爭值得您了解緣由。 
 
這次俄烏大戰近因，和烏克蘭與 愈走愈近直接相關。北約成立目的是對抗蘇聯時期成立的華沙公約，蘇聯解體後，北約繼續存在，對抗對象變成俄國，因此若北約擴張，就會增強對俄國威脅。美國柯林頓總統是第一個提出讓北約開門引進新會員的領導人。一九九四年，北約宣布擴張，並接觸東邊原屬蘇聯的國家，如波蘭、捷克、匈牙利等，後來第一個加入的是德國，二○○五年愛沙尼亞、拉脫維亞、立陶宛也陸續加入，也許是因這些國家離俄國遠，俄國未激烈反對。 
 
但是 亞（位俄國南方）與烏克蘭（位俄國西方）大幅與俄國接壤，他們與北約眉來眼去，俄國感受就大不相同。二○○四年，親西方喬治亞共和國總統薩卡什維利玫瑰革命後上任，想重新控制原屬喬治亞，在北方與俄國相鄰兩個分離主義地區南奧塞梯及阿布哈茲，以及成為北約會員。 
 
二○○八年四月二日，在北約高峰會，美國總統布希大力推銷，要讓喬治亞開始加入北約申請流程，峰會決議北約歡迎烏克蘭與喬治亞想加入北約的願景。俄國總統普亭四月三日北約與俄國雙邊會談中表示，俄國反對北約在波蘭和捷克部署飛彈，且北約擴張被俄國視為國家安全直接威脅。四月十六日俄國迅速行動，正式承認及保護南奧塞梯及阿布哈茲。七月十五日，美國與喬治亞舉行年聯合軍事演習，也有烏克蘭部隊參與，八月，俄國即與喬治亞在外高加索打了「廿一世紀歐洲第一場戰爭」。經過強權間談判後停戰，喬治亞迄今未正式加入北約。 
 
俄烏戰爭幾乎是俄喬戰爭的翻版。俄喬戰後，普亭維持南奧塞梯及阿布哈茲獨立、避免喬治亞加入北約、俄國並未受到北約制裁。烏克蘭於一九九二年開始與北約有夥伴關係，九七年建立烏克蘭—北約委員會，二○○二年烏克蘭總統庫奇馬公開表示想成為北約會員國，○八年總統安德烈耶維奇訪問美國，布希高調支持烏克蘭加入北約。一○年，普亭支持的總統亞努科維奇停止進行加入北約行動；但是一四年，亞努科維奇被烏克蘭示威抗議民眾趕走，俄國立即兼併克里米亞半島。 
 
二○一七年，烏克蘭通過憲法修正案，決心進入北約。二一年，烏克蘭以加入北約為國家安全策略。九月烏克蘭與美國及北約舉行軍事演習，同期間俄國與白俄羅斯也舉行大規模軍演。在普亭要求北約於波蘭等國撤除對俄國造成威脅飛彈，及不將烏克蘭納入北約未果後，俄國於今年二月底開始侵入烏克蘭。 
 
您值得思考的事情是，俄國的戰爭目標是什麼？誰是俄烏戰爭的受益者？俄烏戰爭對美國以後打擊中國策略的影響？對中國的啟示？如果您閱讀我的新書：中美滙流大未來，應該能得到不少啟發。 
 
",udn.com
【專家之眼】俄烏戰爭下的全球三分新格局 - 聯合報,2022-04-13 08:14,"自俄烏戰事開打以來，美國及其盟邦團結一致制裁 ，不但供武 ，還增兵北約，力道不斷加強，以至於形成西方國家相對團結的氛圍，而美國則因受害較輕又隔岸觀火，頓時強化了其在盟國中的領導地位。 
 
相對的，自2017年川普總統上台後不久，美國開始對中國進行貿易戰，還頻頻對中國高官實施制裁，而中方也制裁了如美前國務卿等人。自拜登上台以來，這些狀況未見改善，甚至還變本加厲，以至於美中雙邊關係持續不睦。至於西方國家對於俄羅斯的制裁就更加強勁，比如在國際財經的SWIFT、聯合國人權委員會等國際組織，甚至一些體育賽事與文化活動等，俄羅斯均被除名。 
 
因而導致俄中關係必將進一步強化，比如將俄國的訊息傳遞系統 (SPFS) 和中國的人民幣跨境支付系統 (CIPS) 相連，以減輕俄羅斯退出SWIFT所造成的損失。再加上中國強勁的製造業與廣大市場，以及俄國的充裕能源，都是反制西方的有力武器。 
 
由此可見，由於俄烏戰事所引起的西方對俄制裁，使得世界三分的新格局儼然形成：以美國為首的西方國家加上日本等國可稱為第一世界，受到西方排擠的中俄兩大國為第二世界，是否加上印度等金磚國家，端視其能否頂住西方國家的壓力，其餘的亞非拉國家為第三世界，正是大國拉攏的對象。 
 
自三月下旬以來，中國外長王毅的外交活動頻繁。首先應邀在巴基斯坦首都伊斯蘭堡，出席伊斯蘭合作組織外長會議開幕式併致辭，共有60餘國外長和代表出席。隨後又訪問阿富汗、印度與尼泊爾等國，接著在安徽屯溪舉行第三次阿富汗鄰國外長會議，伊朗與巴基斯坦還有三個中亞國家參加，同時也會晤了與會的俄羅斯外長拉夫羅夫，再度強化了中俄關係。 
 
進而在3月底，當美國與東協（ASEAN）預定舉行領袖特別峰會告吹，主因一些會員國有意避免美方施壓，要在 中選邊，故王毅隨即邀訪了印尼、泰國、菲律賓與緬等四國外長。由此可見，中方在俄烏戰事進行之際，極力改善與拉攏第三世界國家。但在四月初的中歐高峰會方面，因雙方各持己見，共識甚少。 
 
雖然如此，美國還在月前發布「印太戰略報告」，此乃拜登政府首度，再加上隨後的美日印澳「四方安全對話」(Quad)外長會議，以及美日韓三國外長會談，會後都分別發表聯合聲明，而三者都以中國為主要對象，可見美中之間角力激烈的程度。 
 
與此格局相關的是，1974年2月，毛澤東首次公開提出「三個世界理論」：超級大國美國與蘇聯是第一世界，先進國家如日本、歐洲、澳洲與加拿大是第二世界，其餘是第三世界的。當時毛澤東認為，超級大國之間爭奪世界霸權地位，是世界局勢動盪不安的主要根源，而第三世界是反對帝國主義、殖民主義、霸權主義的主要力量。 
 
中國曾於1971年進入聯合國，內部文革也近尾聲，正準備進入世界舞台。因而聯合第三世界，拉攏第二世界與對抗第一世界，乃其戰略重點。這與當前世界三分的格局略有異同，其中尤以第一世界與第二世界的變化明顯，而能否分化第一世界，並聯合第三世界與之博弈，乃當前北京的重要策略。 
 
由於戰爭型態的多元化，能源與糧食的短缺，以至於全球產業鏈的重組，以及美元與人民幣地位的消長等因素，當前這正在悄然孕育的美歐、中俄與亞非拉等新的世界三分格局，其所可能造成的影響，還需要進一步觀察。",udn.com
俄烏戰爭怎麼收場？季辛吉揭「3種方式」可能結束戰火 - 聯合報,2022-07-02 20:35,"
 
美國前國務卿 （Henry Kissinger）在接受《旁觀者》（Spectator）記者採訪時說， 危機可能會以三種方式結束。 
 
季辛吉認為，第一種版本指的是「 控制大部分頓巴斯及其主要工業和農業地區」，以及控制「黑海附近的一片土地」，這將是俄羅斯的勝利。 
 
他推測說：「在這種情況下北約的作用將不會像此前認為的那麼有決定性。」 
 
季辛吉認為，第二種方案試圖從已被俄羅斯吞併的克里米亞「向俄羅斯施壓」。 
 
他認為，這種版本可能導致衝突升級。第三種版本規定恢復2月24日前的局勢。 
 
他說，未解決的問題可能將談判進行討論。大概局勢將凍結一段時間。 
 
 
 
 
文章授權轉載自 
",udn.com
俄烏戰爭接下來4周發展影響未來數十年歐洲版圖 - 聯合報,2022-04-23 14:20,"拜登政府高層官員說， 接下來四周如何發展，對於未來數十年歐洲版圖如何畫分將有深遠影響。國防部資深官員分析，表面上看來， 目前似乎處於優勢，因為俄軍已挺進更多遼闊地帶，不是只在城市戰中陷入膠著，但五角大廈評估，一旦 獲得適當武器裝備，保持高昂士氣，烏軍不僅能擋下俄軍步步進逼，甚至還有機會擊退俄軍。 
紐約時報報導，拜登政府官員說，俄烏戰爭雖然可能變得漫長，但眼前當務之急是為烏克蘭運送越多越好的新型武器，尤其是長程砲彈及反砲彈雷達，讓烏克蘭能在東部頓巴斯(Donbas)區域抵抗俄軍最新一波的攻擊。 
拜登總統21日宣布為烏克蘭增加8億元軍援，這是過去一周多之間美國第二次軍援烏克蘭。國防部長奧斯丁(Lloyd Austin)與參謀首長聯席會議主席密利(Mark Milley)本周則各自與盟邦軍方高層磋商，強調俄烏戰爭下個月將進入關鍵期。 
美國官員分析，俄軍若能繼續在烏東地區取得斬獲，俄羅斯總統普亭(Vladimir Putin)便可在國內大肆宣傳「特別軍事行動」(special military operation)成功，聲稱為烏克蘭境內的挺俄派少數民眾提供安全保障，普亭可能願意考慮停火，但也可能食髓知味，拿頓巴斯當做任何談判的籌碼。 
然而，如果烏克蘭軍隊在頓巴斯擋住俄軍繼續進犯，美國官員指出，普亭就將面臨險峻選擇：加碼為戰爭投入更多資源，讓戰爭拖延數年之久，或者坦誠接受和平談判。官員說，第一個選項代表著俄羅斯必須全國總動員，對普亭而言將有政治風險。 
前總統歐巴馬任內的主管俄羅斯及烏克蘭政策的國防部副助理部長艾芙琳‧法卡斯(Evelyn Farkas)分析，俄軍目前處於虛弱狀態，如果有充裕時間以及新的徵召士兵，就能恢復實力，「因此，現在就出手，利用我們提供給烏克蘭的所有武器重擊俄羅斯，是非常重要的」。 
前任美國陸軍駐歐指揮官哈吉斯(Frederick Hodges)表示，俄軍現在處於整裝及準備模式，此時非常適合出手重挫俄軍，「不要等到他們休息充足又再度站起來」。 
",udn.com
CIA局長：中國緊盯俄烏戰爭為侵台作準備 - 聯合報,2022-05-08 14:30,"
中央情報局長伯恩斯(Bill Burns)7日表示，中國正密切關注和研究 侵烏戰爭，以便為奪取台灣做好準備，但北京對俄軍表現之拙劣深感震驚和不安；至於 ，伯恩斯表示目前戰爭第二階段與第一階段比，對俄國一樣凶險，甚至更變幻莫測；俄羅斯總統普亭覺得自己輸不得，勢必加碼投入。 
 
 
 
伯恩斯指出，中國高層密切注意 戰爭發展，藉此了解若武力奪取台灣，要付出的代價及須承擔的後果；但他不認為中國國家主席習近平對台長期目標會因此改變。 
 
此外，俄軍表現之拙劣、烏國全民抵抗之堅定，都讓北京「驚訝」；尤其大西洋兩岸盟邦竟迅速團結起來，步調一致對俄祭出經濟制裁措施，懲罰侵略烏克蘭，北京更未料到；但伯恩斯表示，北京對此一切有何結論，猶未可知。 
伯恩斯指出，北京高層雖在仔細計算武統台灣得付出的經濟代價及一切後果，但他一點也不認為俄烏戰爭會影響習近平拿下台灣的決心，認為只是會衝擊到中國的評估，思考何時奪取台灣及該怎麼做。 
 
 
中國一直拒絕因侵略烏克蘭而譴責俄國，還批評西方制裁俄國；北京冬奧會舉行前，中方還宣稱中、俄盟誼「上不封頂」；但伯恩斯指出，普亭揮軍入侵烏國而致聲譽受損，「殘暴」形象讓北京深感不安；戰爭最近10周、11周發展下來，俄方的苦澀經驗，已顯示中、俄友誼封頂多多。 
伯恩斯另評估俄烏戰爭，指開戰前八周是第一階段，俄軍迭遇險境；轉攻烏國東、南兩地區是第二階段，險況不減反增；「俄軍攻勢之醜惡與殘暴讓人不可思議，普亭押寶在第二階段很多」，他認為普亭由第一階段的失利中學到教訓，已有所調整。 
 
 
伯恩斯警告說，普亭「已心知肚明，認為自己承受不起戰爭失敗」，深信自己目前必須加碼投入，取得進展，很多事態，包括戰爭的整體規模，莫斯科染指烏國領土的野心，是侷限在烏境東南，還是擴大到想吞併敖德薩、基輔及其他地區，都要看俄軍是否能在接下來數周展現攻勢而定。 
但烏克蘭軍在西方增加援助後，持續有效擋下俄軍；五角大廈發言人科比(John Kirby)日前表示，俄軍遭遇烏國頑強抵抗，頓巴斯攻勢「落後預期」，進展遲緩。 
伯恩斯指出，克里姆林宮雖然加碼在軍事行動，但迄今沒有跡象顯示俄方計畫部署甚至動用戰術核武，只是俄方過去一直在磨刀霍霍，美方對俄國鋌而走險不會掉以輕心。 
",udn.com
俄烏戰爭不僅造成物價飛漲正釀成一場社會動盪 - 聯合報,2022-04-21 23:31,"當俄羅斯入侵 時，沒人知道接下來的衝突會持續多久，也不曉得對歐洲或世界其他地區產生的衝擊有多大。然而隨著戰爭接近第三個月，這場軍事衝突造成的經濟影響日益顯著，前景看起來不太妙。 
 
在全球面臨食品和能源價格上漲以及新冠疫情後供應鏈中斷所造成的通膨飆升之際， 正在加劇供需之間緊張、傷害消費者信心，並且威脅到全球經濟成長。 
 
金融市場賣壓沉重 
 
全球金融市場正在持續關注這場戰爭，因為它進入了在烏東展開激戰的第二階段。分析家表示，「頓巴斯之戰」可能決定這場戰爭的結果。 
 
投資人對通膨猖獗及其抑制全球經濟成長的效應惴惴不安。國際貨幣基金（IMF）預測，美國今年通膨率將達7.7%、歐元區將為5.3%。對物價上漲的顧慮促使投資人拋售債券，因而推升殖利率，基準的10年期美公國債殖利率在19日觸及 2.94%，為 2018 年底以來最高。 IMF並表示，投資人預期各國央行將推出更激進的升息措施以控制物價上漲，可能觸發更多市場賣壓 
 
全球成長受創 
 
無論未來幾天或幾周的戰況如何，這場衝突產生的衝擊波將繼續在全球各地迴盪，世界銀行和IMF都下修了全球成長預測。IMF在19日下調了對2022年和2023年的全球成長預測，表示俄羅斯入侵烏克蘭對經濟的影響「既深遠且廣泛，不僅增添物價壓力，並加劇了重大政策的挑戰」。世界銀行也以俄國入侵烏國為全球經濟帶來壓力為由，將2022年的全球成長預測由原先預估的4.1%下調了近1個百分點至3.2%。 
 
這兩家國際機構均表示，調降預測是因為預期供應衝擊將加劇、大宗商品價格將劇烈上漲。俄羅斯和烏克蘭是許多大宗商品的主要供應國。IMF說：「俄羅斯是石油、天然氣和金屬的主要供應國，而且與烏克蘭同是小麥和玉米的主要供應國。 這些商品的供應減少導致價格急劇上漲。」 
 
高盛首席歐洲經濟學家Jari Stehn20日對財經新聞網站CNBC說，烏克蘭戰爭的影響已使歐洲經濟踩下煞車。他並表示：「這裡的總體情況是，歐元區經濟正在迅速放緩，因為通膨高出許多，開始影響所得和消費，而且……能源價格正在給生產者帶來壓力。最重要的是，你還有一大堆供應鏈問題……烏克蘭戰爭使這些問題更加惡化。」 
 
食品價格飆漲恐導致窮國社會動盪 
 
麥肯錫主管化學與農業部門的負責人阿米內紮和合夥人丹尼斯表示，隨著戰爭加上其他破壞（供應鏈緊張、通膨和疫情），現在對「全球食品供應構成迫在眉睫的威脅」。烏克蘭-俄羅斯地區是少數幾座全球大「糧倉」之一，不僅是小麥等主食的出口大國，也是肥料的主要供應國，對全世界糧食供應至關重要。 
 
丹尼斯指出：「有六座糧倉共同供應了全球大約60%到70%的農產品。烏克蘭-俄羅斯地區約佔全球小麥出口量的 30%、向日葵出口量的65%，在這些市場日益緊張和相互關聯的背景下，只要出現輕微的供應的中斷，肯定會對價格產生影響。」 
 
IMF表示，食品價格上漲可能會產生另一個令人擔憂的影響。該組織警告說：「食品和燃料價格上漲也可能顯著增加較貧窮國家社會動盪的可能性。」 
 
IMF說：「在俄國入侵烏國之後，新興市場和開發中國家的金融條件立即緊縮。到目前為止，這種重新定價大致上仍是井然有序。然而，一些金融脆弱性風險依然存在，升高了全球金融條件大幅緊縮以及資本外流的可能性。」 
 
當然，對全球經濟影響的深度取決於戰爭持續多長時間，以及它造成的毀滅及破壞程度。但令人憂心忡忡的是，儘管國際對俄國的重要經濟部門（從石油、天然氣到金融體系）實施一系列的制裁，但沒有跡象顯示俄羅斯在短期內願意讓步。",udn.com
