title,date,paragraph,source
不只是龍龍、老K、博恩、賀瓏！台灣最夯20大單口喜劇演員報到,2021-10-17 14:37,image source: image source: image source: image source: image source: image source: image source: image source: image source: image source:    ,udn.com
中職／中信兄弟下半季門票11日起售13日全面開賣 - 聯合報,2022-07-08 20:26,"下半季主場四大主題日包括經典K歌、少女專屬、鄉民大會、「鬼滅之刃」聯名，主場售票資訊也在今天公布，7月11日起陸續開放會員購票，13日全面開放。 
 
中信兄弟下半季主場將由7月23日、24日「龍角散草本喉糖K歌FES.」主題日打頭陣，於台中洲際 場由歌手與兄弟球員們熱力開唱。 
 
接著8月13日、14日「我的少女STYLE」談場老派戀愛，8月27日、28日來場「爪爪鄉民大會」，中秋連假9月9日到11日聯名主題日「鬼滅之刃」更是不能錯過。 
 
另外在7月26日到28日移師高雄澄清湖棒球場，進行今年中信兄弟唯一於高雄進行的主場三連戰。 
 
下半季7月23日到10月21日的中信兄弟主場門票即將開賣，7月11日中午12：00到18：30在中信兄弟售票網、售票APP開放2022洲際季票會員優先購票，7月11日19：30到12日10：00開放2022猛象會、艾樂粉會會員優先購票，7月12日12：00到18：30開放親子象會員、19：30到23：59中信兄弟聯名卡（邀約制）優先購票。 
 
7月13日12：30於中信兄弟售票網、售票APP及7-11 ibon售票機台全面開放購票，洲際球場家庭席也將於全面開放售票時同步販售。",udn.com
中職／兄弟下半季四大主題日鬼滅之刃中秋連假登場 - 聯合報,2022-07-07 16:29,"
 隊今天公布下半季台中洲際主場四大主題日，包含經典K歌「龍角散草本喉糖K歌FES.」、少女專屬「我的少女STYLE」、「爪爪鄉民大會」、聯名主題日「鬼滅之刃」， 
 
 
 
7月23、24日「龍角散草本喉糖K歌FES.」835號大包廂開唱啦！23日天氣晴朗的星空周末夜，靠近一點來聽抒情歌，24日神秘嘉賓轉身之後在你身邊，實力派天菜們的金曲聽不完！中信兄弟第九屆「我不是歌手」壓軸登場，今年又有哪些球員們將一展歌喉呢？連續兩日「龍角散草本喉糖K歌FES.」帶給你視覺與聽覺的雙重饗宴，不可能不想來吧！ 
 
8月13、14日「我的少女STYLE」當喜歡的歌變成了時代的經典、喜歡的東西成為了時代的回憶、喜歡的人成為那少女心中的男孩。讓時間倒流、讓靈魂回到90年代，找尋少女的青春時光，重現心中的懷念與經典。經典女孩日「我的少女Style」帶妳回到那個時代，一場充滿復古浪漫的聯誼活動觸動少女的浪漫情懷，來談一場90年代的老派戀愛吧！ 
 
8月27、28日「爪爪鄉民大會」鄉民站出來！爪爪們從七年六亞到動物們結束了派對，從免費仔到轉戰比現場快的紫色學校，大學生從推噓箭頭變成藍色紅色頭像，聊天室直接刷一排777，各粥建設開工後又面臨倒閉。而那些傳統的炸裂今日文大家還是搶成一團，也多了許多網路神秘之力，問就是兩個字大中計。鄉民們，我的超人，黑特vs牡蠣洲際現場版，卡友抽起來，鍵總你來當，鄉民站出來！ 
 
9月9、10、11日 聯名主題日「鬼滅之刃」來囉！中秋連假三天，中信兄弟將與現象級動漫「鬼滅之刃」聯名舉辦主題日。天色漸黑，兄弟們換上鬼滅之刃聯名球衣，將在台中洲際 場進行連續三日的奮戰拚搏！內野下層進場將可獲得三天不同款主題球衣造型提袋，並推出多款聯名商品，更有五款主題球衣等你來蒐集！夥伴們換上你的鬼滅聯名球衣，一起到洲際棒球場大顯身手，奮力一戰！",udn.com
中職／被拋彩帶沒關係！林智勝、吳東融鼓勵小龍：記住這感覺,2022-07-11 13:23,"
樂天桃猿昨晚以10比2痛宰 ，靠著這場勝利奪下上半季冠軍，賽後味全龍官方YouTube放出一支影片，由今年轉戰龍隊的老將 和隊長 ，賽後第一時間召集年輕的龍將們，要他們記住「被人家拋彩帶的感覺」。 
 
猿隊今年堪稱「龍隊剋星」，兩隊目前交手13場，猿隊拿下壓倒性的11勝，昨天猿隊在自家主場迎戰龍隊，雖然前7局打完還是一場1分差的比賽，但第8局猿隊灌進7分，瞬間拉開分差，滿場球迷也提早開始準備彩帶，迫不及待撒下「酒紅雨。」 
 
賽後在滿場球迷的歡呼聲下，龍隊休息室顯得格外低迷，扮演球隊陣中精神領袖的「大師兄」林智勝察覺氣氛不對，立刻召集學弟們，希望能藉由一番演說鼓舞士氣。 
 
「沒關係沒關係！今天大家辛苦啦，感受一下人家是怎麼把比賽贏下來的、這一支球隊為什麼會這麼強，這都是我們要學習的地方。今天我們每一個環節，有做好的、做不好的，沒有關係，勝負不是最重要，重點是在這裡你學到什麼？」 
 
「往後我們還有更多的比賽，要怎麼把別人的優勢變成我們優勢？在球場上發揮，這才是重點。勝敗不是我們可以掌握，重點是我們在球場上有沒有盡力？如果有，那就沒問題。」 
 
身為龍隊隊長的吳東融，也勉勵小龍們，「好好記住這種感覺，想辦法在之後的練習與比賽更進步，我覺得我們還有很多可以去做，感受一下這個感覺。被拋彩帶一定會很幹，但是我們下次要把它討回來。我們可以啦！真的，繼續加油而已。」 
 
事實上，這已經不是第一次「大師兄」帶頭發表「精神演說」，今年6月18日龍隊終止4連敗後，賽後球員在外野舉行圍圈圈儀式，當時林智勝就鼓勵大家，「每一個人的表現，讓我們連結在一起，我們要往前走，不能停在這裡。」 
 
 
",udn.com
八里老夫妻到淡水河畔撈蛤蜊丈夫失足落水天人永隔 - 聯合報,2022-07-10 19:26,"新北市八里區有1對老夫妻中午到 畔採蛤蜊，妻子在岸邊等候3個多小時，未見丈夫上岸趕緊報案求助，消防隊獲報下水搜尋，下午5時許找到陳姓老翁，已經溺斃。全案由警方報請士林地檢署司法相驗。 
 
據了解，68歲陳姓老翁和64歲林姓妻子，中午12時許一起到八里區龍米路二段140巷底淡水河畔，老翁獨自下去河灘地撈蛤蜊，老婦在岸邊等候。直到下午3時52分，老婦仍未等到老翁上岸，立刻向119報案求助。 
 
消防隊出動船艇下水搜尋，下午5時許發現老翁漂浮在河面上，打撈上岸確認已經溺斃，家屬指認無誤，沒有送醫。老婦警詢後沒有疑義，由警方報請士林地檢署司法相驗。",udn.com
龍龍事件後老K突宣布這決定網驚「這條龍真是可怕」,,,chinatimes.com
老K發聲還原真相狠酸龍龍是喜劇圈毒瘤：絕不跟這個人道歉,,,chinatimes.com
龍龍事件後老K突宣布這決定網驚「這條龍真是可怕」,,,chinatimes.com
老K深夜重砲再出聲轟龍龍公審髮型師：就是大欺小,,,chinatimes.com
雞排妹決裂龍龍「利用所有人對妳的信任」 老K深夜吐心聲,,,chinatimes.com
