Time,Event,Source
2021年, 」  老 K 去年 和 龍龍 發生 紛爭 ， 爾後 退出 薩泰 爾沉 寂 至今 ， 他 說 ： 「 確實 事件 過 後 有 刻意 停止 一段 時間 的 公開 演出 ， 倒 不 是 因為 掙扎 或 被 打擊 ， 而 是 不 希望 任何 演出 因為 這件 事 被 模糊 焦點 ， 所以 才 空 白 了 一段 時間 。,2
2021年, 」 身為 街舞團 體 H . R . C . 創辦人 的 陳柏均 去年 獲得 總統 文化獎 ， 也 是 將 霹靂舞 推 向 2024 奧運 的 首位 亞洲 舞者 ， 讓 倪重華 十分 推崇 。,2
2022年09月24日, 音樂 脫口秀 」 於 24日 在 台北 「 Pipe   Live   Music 」 登場 。,2
2022年09月25日, 昨 （ 19日 ） 老 K 再次 談起 此事 ， 則 透露 自己 對 這件 事 與 地獄梗 的 看法 。,3
2021年, 2021 震驚 全網 名人 炎 上 事件 Top  20  2021 最 炎 上 話題  2021年 將 近 尾聲 ， 每年 回顧 一 整年 大事 時 ， 總是 會 發現 名人 出包 一樁樁 ， 誰 曾經 失言 、 誰 曾經 爆出 醜聞 、 誰 是 真 的 能 穩 到 最後 ？,4
2021年12月26日, 而 今年 從 年初 的 疫情 爆發 到 年 末 的 力宏 事件 ， 你 是否 每 一波 大瓜 都 即時 跟 上 了 呢 ？,4
2021年12月26日,  今天 《 DailyView 網路 溫度計 》 透過 《 KEYPO 大數據 關鍵 引擎 》 ,4
2021年, 回顧 2021年 「 名人 炎 上 」 TOP20 大事件 ， 從 演藝 圈 到 政治界 、 YouTuber 圈 通通 有 ， 一起 來看看 吧 ！,4
2021年,2022 - 04 - 12 19 : 14  聯合 報   記者 陳慧貞 ／ 即時 報導  28 歲 脫口秀 演員龍龍 去年 因自 曝 遭 博恩班 底 老 K 影射 舊情事 ， 引發 「 龍 K 之 亂 」 ， 過程 中 她 被 雞排 妹公司 切割 ， 發 影片淚訴 也 被 指 是 「 假哭 」 ， 引來 網路 輿論 批評 ， 事 隔 數月 ， 近日 她 為 舞台劇 「 仁愛路 六 號 」 宣傳 ， 提 及 當時 心情 ， 坦言 網友 無 差 別 攻擊 ， 更 出現 「 妓女 」 等 辱罵 難堪 字眼 ， 令 她 身心 靈 受重傷 ， 不少 朋友 也 為 此 擔心 她 想不開 ， 紛紛 傳 幽默 訊息 安慰 ， 讓 她 破涕為笑 。,5
2022年09月5日,  賀瓏 5日 下午 於 臉書 發聲 ， 表示 近來 受到 許多 關心 ， 很多 人 希望 他 出來 講 點 什麼 ， 所以 他 整理 後 列出 3點 說明 ， 只 不過 他 並 未 回應 「 龍 K 紛爭 」 ， 而 是 幽默 自 介 「 賀瓏 的 「 瓏 」 有 玉字 旁 ， 瓏子 的 「 瓏 」 也 有 玉字 旁 。,6
