Time,Event,Source
2021年,」老K去年和龍龍發生紛爭，爾後退出薩泰爾沉寂至今，他說：「確實事件過後有刻意停止一段時間的公開演出，倒不是因為掙扎或被打擊，而是不希望任何演出因為這件事被模糊焦點，所以才空白了一段時間。,2
2021年,」身為街舞團體H.R.C.創辦人的陳柏均去年獲得總統文化獎，也是將霹靂舞推向2024奧運的首位亞洲舞者，讓倪重華十分推崇。,2
2022年09月24日,音樂脫口秀」於24日在台北「Pipe Live Music」登場。,2
2022年09月25日,昨（19日）老K再次談起此事，則透露自己對這件事與地獄梗的看法。,3
2021年,2021震驚全網名人炎上事件Top 202021最炎上話題2021年將近尾聲，每年回顧一整年大事時，總是會發現名人出包一樁樁，誰曾經失言、誰曾經爆出醜聞、誰是真的能穩到最後？,4
2021年,而今年從年初的疫情爆發到年末的力宏事件，你是否每一波大瓜都即時跟上了呢？,4
2021年,今天《DailyView網路溫度計》透過《KEYPO大數據關鍵引擎》，回顧2021年「名人炎上」TOP20大事件，從演藝圈到政治界、YouTuber圈通通有，一起來看看吧！,4
2021年,2022-04-12 19:14 聯合報 記者陳慧貞／即時報導28歲脫口秀演員龍龍去年因自曝遭博恩班底老K影射舊情事，引發「龍K之亂」，過程中她被雞排妹公司切割，發影片淚訴也被指是「假哭」，引來網路輿論批評，事隔數月，近日她為舞台劇「仁愛路六號」宣傳，提及當時心情，坦言網友無差別攻擊，更出現「妓女」等辱罵難堪字眼，令她身心靈受重傷，不少朋友也為此擔心她想不開，紛紛傳幽默訊息安慰，讓她破涕為笑。,5
2022年09月5日,賀瓏5日下午於臉書發聲，表示近來受到許多關心，很多人希望他出來講點什麼，所以他整理後列出3點說明，只不過他並未回應「龍K紛爭」，而是幽默自介「賀瓏的「瓏」有玉字旁，瓏子的「瓏」也有玉字旁。,6
2022年09月9日,星聞 綜合報導網紅小玉（朱玉宸）製作換臉謎片販售遭逮，9日於新北法院再度開庭，小玉再度認罪致歉，辯護人則盼從輕量刑。,7
2022年09月10日,也是受害人之一的脫口秀演員龍龍10日透過IG Story表示「不會和解也不會接受道歉」。,7
2022年09月9日,龍龍9日未現身法庭,7
2022年09月10日,她10日曬出法院通知書,7
2022年09月9日,表示看到新聞才想起來9日是開庭的時間，不過她稱早已委託律師交辦了，「但我實在無心力再去承受一次又一次得回顧」，並強調不接受和解道歉。,7
2012年,◎ 么么來自台中的黃冠嘉（么么）2012年畢業於台灣藝術大學戲劇系，是卡米地喜劇俱樂部成員之一，常以男女觀念、日常趣事切入表演。,9
2018年,壯壯不僅在喜劇圈發展，還涉及電視劇演出，2018年參與電影《花甲大人轉男孩》，之後於Netflix《誰是被害者》和YouTube「心跳到不要不要の人生整理術」都能看到他的身影。,9
2008年,畢業於中國文化大學史學系，2008年出道，黄逸豪擅長貫口、歌唱等表演技藝，演出時一身長衫打扮，善於以邏輯性笑話，破解大眾常犯的迷思，引發全場笑聲。,9
